index,grade,sem,r_rmd,tidyverse,create_new_var,change_var,sub_analysis,sub_data,viz_mult_mak,viz_mult_interpret,eda_theme,rel_data,slr_fit,mlr_fit,mlr_check_cond,prediction,ht,ht_check_cond
122,82.6,Spring 2015,.r,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1
123,86.4,Spring 2015,.r,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0
124 (have so little submitted),89.9,Spring 2015,.r,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
125,88,Spring 2015,.r,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0
126 (have so little submitted),92.7,Spring 2015,.r,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
127,96.7,Spring 2015,.r,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1
128,90.8,Spring 2015,.r,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0
129,93.9,Spring 2015,.rmd,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1
130,87,Spring 2015,.r,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0
131,78.7,Spring 2015,.r,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1
132,79,Spring 2015,.r,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1
133 (have so little submitted),87.8,Spring 2015,.r,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
134,67.9,Spring 2015,.r,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1
135,82,Spring 2015,.r,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
136,80.4,Spring 2015,.r,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1
137,94.6,Spring 2015,.r,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1
138,87.9,Spring 2015,.r,0,1,0,1,0,0,0,1,1,0,1,1,1,1,0
139,84,Spring 2015,.r,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1
140,93.7,Spring 2015,.r,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1
141,89,Spring 2016-Section 01,.rmd,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1
142,96.4,Spring 2016-Section 01,.rmd,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1
143,89.4,Spring 2016-Section 01,.rmd,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1
144,89.3,Spring 2016-Section 01,.rmd,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1
145,84,Spring 2016-Section 01,.rmd,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1
146,90.3,Spring 2016-Section 01,.rmd,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1
147,89.8,Spring 2016-Section 01,.rmd,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
148,88,Spring 2016-Section 01,.rmd,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1
149,85.8,Spring 2016-Section 01,.rmd,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0
150,97.4,Spring 2016-Section 01,.rmd,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
151,86.7,Spring 2016-Section 01,.rmd,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1
152,81.5,Spring 2016-Section 01,.rmd,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1
153,85.7,Spring 2016-Section 01,.rmd,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1
154,91.5,Spring 2016-Section 01,.rmd,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1
155,83.8,Spring 2016-Section 01,.rmd,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1
156,82.9,Spring 2016-Section 01,.rmd,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
157,86.9,Spring 2016-Section 01,.rmd,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
158,91.4,Spring 2016-Section 01,.rmd,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1
159,84.3,Spring 2016-Section 01,.rmd,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1
160,94,Spring 2016-Section 01,.rmd,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1
161,88.4,Spring 2016-Section 01,.rmd,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1
162,86,Spring 2016-Section 01,.rmd,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1
163,90.8,Spring 2016-Section 01,.rmd,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1
164,86.4,Spring 2016-Section 01,.rmd,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1
165,80.8,Spring 2016-Section 01,.rmd,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1
166,90.5,Spring 2016-Section 01,.rmd,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1
167,86.5,Spring 2016-Section 01,.rmd,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0
168,87,Spring 2016-Section 01,.rmd,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
169,91.2,Spring 2016-Section 01,.rmd,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
170,80.4,Spring 2016-Section 01,.rmd,1,0,0,1,0,0,0,1,0,1,1,0,1,1,1
171,91.4,Spring 2016-Section 01,.rmd,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1
172,85.6,Spring 2016-Section 01,.rmd,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1
173,90,Spring 2016-Section 01,.rmd,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1
174,89.9,Spring 2016-Section 01,.rmd,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1
175,89.3,Spring 2016-Section 01,.rmd,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
176,89.8,Spring 2016-Section 002,.rmd,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1
177,82.4,Spring 2016-Section 002,.rmd,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1
178,79.5,Spring 2016-Section 002,.rmd,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1
179,77,Spring 2016-Section 002,.rmd,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1
180,91.1,Spring 2016-Section 002,.rmd,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1
181,80.5,Spring 2016-Section 002,.rmd,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1
182,78.4,Spring 2016-Section 002,.rmd,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1
183,87.8,Spring 2016-Section 002,.rmd,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1
184,81.6,Spring 2016-Section 002,.rmd,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1
185(have so little submitted),67.1,Spring 2016-Section 002,.rmd,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,76,Spring 2016-Section 002,.rmd,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1
187,80,Spring 2016-Section 002,.rmd,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1
188,83.1,Spring 2016-Section 002,.rmd,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1
189,84.8,Spring 2016-Section 002,.rmd,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1
190,87.8,Spring 2016-Section 002,.rmd,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1
191,79.9,Spring 2016-Section 002,.rmd,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1
192 (have so little submitted),61.9,Spring 2016-Section 002,.rmd,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,86.8,Spring 2016-Section 002,.rmd,1,1,0,1,0,0,0,1,0,1,1,0,1,1,1
194,69.3,Spring 2016-Section 002,.rmd,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1
195,82.3,Spring 2016-Section 002,.rmd,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1
196,78.8,Spring 2016-Section 002,.rmd,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0
197,82.8,Spring 2016-Section 002,.rmd,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1
198,82.4,Spring 2016-Section 002,.rmd,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0
199,79,Spring 2016-Section 002,.rmd,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0
200,82.8,Spring 2016-Section 002,.rmd,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1
201,89.4,Spring 2016-Section 002,.rmd,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1
202,87.8,Spring 2016-Section 002,.rmd,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
203,88.3,Spring 2016-Section 002,.rmd,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1
204,85.8,Spring 2016-Section 002,.rmd,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1
205,82.1,Spring 2016-Section 002,.rmd,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1
